n	seminaive	seminaive_simple	seminaive_raw	naive
#80	0.006453	0.008381	0.273995	0.317066
#100	0.014548	0.013978	0.678547	0.992334
120	0.028480	0.032360	1.687042	1.683320
140	0.036909	0.035813	2.453850	2.786276
160	0.054225	0.050533	4.133860	4.548512
180	0.075251	0.075369	6.573245	7.324530
200	0.101621	0.104440	9.853609	11.357053
220	0.132712	0.134609	14.611338	17.303730
240	0.171085	0.170830	21.660686	25.788462
260	0.220079	0.210074	39.171477	45.634205
280	0.269277	0.263814	56.344828	65.174271
300	0.331329	0.330994	79.687398	90.933688
320	0.401236	0.389365	108.236557	123.023432
