n	seminaive	seminaive_simple	seminaive_raw	naive
#80	0.006724	0.006909	0.248035	0.307954
#100	0.017003	0.012463	0.588905	0.723697
120	0.026049	0.020775	1.187112	1.445705
140	0.037043	0.031977	2.163246	2.598648
160	0.055820	0.049865	4.153568	4.356506
180	0.071676	0.066821	5.835136	6.933335
200	0.098605	0.093367	8.982014	10.840182
220	0.129680	0.123509	13.350347	16.802930
240	0.170260	0.161005	21.069110	27.158920
260	0.203918	0.200667	36.511881	44.136591
280	0.258750	0.252967	53.197226	64.952691
300	0.311699	0.310432	75.209449	88.154128
320	0.377323	0.373406	101.932872	119.603840
